Date,^DJI,MMM,AXP,T,BA,CAT,CVX,CSCO,KO,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,DIS
2010-05-01,10136.6298828125,61.079002380371094,34.33340072631836,14.0455904006958,49.96689987182617,45.573692321777344,50.77412796020508,17.760103225708008,17.671602249145508,43.423187255859375,11.449179649353027,125.0916748046875,26.743839263916016,91.1899185180664,15.771031379699707,43.187984466552734,30.461257934570312,49.31568908691406,23.830646514892578,20.34654998779297,13.496199607849121,10.529659271240234,44.99268341064453,38.68426513671875,53.382408142089844,24.816116333007812,16.155345916748047,14.99693775177002,39.49637222290039,29.10980987548828
2010-06-01,9774.01953125,61.21507263183594,34.18701934814453,13.982006072998047,49.137107849121094,45.05614471435547,47.07871627807617,16.341442108154297,17.23153305053711,41.266807556152344,10.097681999206543,114.1124496459961,22.17068099975586,90.3548583984375,14.4215726852417,44.15061569213867,28.17551612854004,48.986358642578125,24.73605728149414,18.228164672851562,12.595590591430664,9.962924003601074,44.175174713134766,38.51223373413086,51.72615051269531,24.244165420532227,16.44886016845703,14.73054313659668,37.76903533935547,27.437429428100586
2010-07-01,10465.9404296875,66.2911605834961,38.614383697509766,14.993521690368652,53.35781478881836,52.316741943359375,52.87163162231445,17.691091537475586,19.27043914794922,43.1540641784668,11.362671852111816,131.10711669921875,22.676433563232422,93.95499420166016,15.274263381958008,43.425479888916016,30.999988555908203,51.856964111328125,24.645591735839844,20.44628143310547,13.937345504760742,10.479937553405762,45.04423522949219,39.747032165527344,56.65888977050781,26.1032772064209,18.189130783081055,15.271873474121094,40.22043991088867,29.344987869262695
2010-08-01,10014.7197265625,60.874080657958984,34.488258361816406,15.897083282470703,47.86854553222656,49.199440002441406,51.393917083740234,15.32921314239502,19.539688110351562,42.74190902709961,10.206668853759766,119.03260040283203,22.12761688232422,90.09870910644531,13.10175609588623,42.6255989074707,28.021381378173828,54.33340835571289,25.14623260498047,18.59256935119629,13.248425483703613,11.115718841552734,44.290645599365234,38.596771240234375,51.965206146240234,27.19197654724121,18.819232940673828,14.362016677856445,39.39544677734375,28.343299865722656
2010-09-01,10788.0498046875,67.62004852294922,36.3566780090332,16.820438385009766,52.42151641845703,59.407779693603516,56.75529479980469,16.79387855529785,20.46282386779785,44.99950408935547,11.45430850982666,125.9983139038086,25.41229820251465,98.64151000976562,14.344802856445312,46.75532913208008,29.331512451171875,55.826744079589844,26.32630157470703,19.504093170166016,15.167552947998047,12.129652976989746,44.51333236694336,41.04697799682617,57.106712341308594,30.098060607910156,20.76935386657715,15.56473445892334,42.29615020751953,28.83108139038086
2010-10-01,11118.490234375,65.67822265625,35.86362838745117,16.773387908935547,55.65157699584961,59.34738540649414,57.8406867980957,17.530048370361328,21.76926040649414,48.42234802246094,11.379096031188965,140.42127990722656,24.7866153717041,105.59805297851562,14.979860305786133,48.098533630371094,29.0001277923584,58.26930236816406,26.240781784057617,21.240264892578125,15.647892951965332,12.306262016296387,47.18547058105469,43.80388641357422,59.944793701171875,31.01784896850586,20.699254989624023,16.38216209411621,42.80983352661133,31.47029685974121
2010-11-01,11006.01953125,65.49105072021484,37.56268310546875,16.581249237060547,50.23926544189453,64.22956848144531,56.69926834106445,14.692728996276855,22.426027297973633,50.65812683105469,11.24413776397705,136.07257080078125,24.233129501342773,104.02439880371094,15.80916976928711,46.445953369140625,28.860055923461914,58.66640853881836,24.911029815673828,20.117328643798828,16.549030303955078,11.515043258666992,45.678157806396484,42.84368896484375,60.34565734863281,31.422239303588867,20.70033073425293,15.478795051574707,42.746612548828125,31.801286697387695
2010-12-01,11577.509765625,67.72236633300781,37.30195617675781,17.52994155883789,51.72443389892578,71.1080551147461,64.44464874267578,15.513251304626465,23.67401885986328,53.58604049682617,12.991487503051758,146.8704376220703,28.34174919128418,108.40138244628906,15.83504581451416,47.073978424072266,32.7337760925293,57.96274185180664,26.04564666748047,22.364389419555664,16.412614822387695,12.497730255126953,48.11652374267578,44.20860290527344,63.47535705566406,31.069480895996094,23.13832664489746,14.870473861694336,42.62016677856445,32.67232131958008
2011-01-01,11891.9296875,68.9936294555664,37.70174026489258,16.420154571533203,55.06916427612305,73.65143585205078,67.04361724853516,16.218748092651367,22.62295913696289,59.12639236450195,14.422866821289062,142.9052276611328,29.724084854125977,119.65811920166016,16.158823013305664,45.49089050292969,34.67835998535156,55.629425048828125,24.22733497619629,22.22015380859375,16.07516098022461,13.004490852355957,47.218963623046875,44.9400520324707,65.55577087402344,35.43632125854492,23.034862518310547,14.758491516113281,44.5560417175293,34.22724151611328
2011-02-01,12226.33984375,72.3758316040039,38.022586822509766,17.1796875,57.07443618774414,78.513427734375,73.27265167236328,14.232622146606445,23.008098602294922,62.68071365356445,14.981452941894531,143.04501342773438,30.289947509765625,119.56949615478516,16.166358947753906,46.761924743652344,36.07014083862305,57.14723205566406,23.789098739624023,21.29865264892578,17.35173988342285,13.732521057128906,47.50857925415039,47.871620178222656,67.36195373535156,36.757102966308594,24.18857765197754,15.434619903564453,41.30592727661133,38.51555633544922
